name,cluster,x,y,z,radius,color,weight,variance,frequency
Aromatic,1.0,-1.4345722222222221,1.074166666666667,-12.202894444444446,0.6041411962934556,purple,3.0,0.0075609204938270795,0.75
Aromatic,2.0,-9.09883888888889,1.7101499999999996,-12.298083333333338,0.925703247181053,purple,3.0,0.09168477783950592,0.75
Aromatic,3.0,-6.368966666666666,0.3001333333333333,-13.04978333333333,0.5,purple,1.0,0.0,0.25
HydrogenAcceptor,1.0,-13.456766666666667,4.869466666666667,-10.984833333333334,1.8698071956787694,orange,3.0,1.1239162,0.75
HydrogenAcceptor,2.0,-2.44,4.873,-7.8247,0.5,orange,1.0,0.0,0.25
HydrogenAcceptor,3.0,-4.9437,3.3718,-7.38,0.5,orange,1.0,0.0,0.25
HydrogenAcceptor,4.0,-7.4223,2.0884,-10.2878,0.5,orange,1.0,0.0,0.25
HydrogenAcceptor,5.0,-4.956100000000001,-1.4617,-13.97048,2.487255214208785,orange,5.0,1.0954319815999998,1.25
HydrogenAcceptor,6.0,-0.764975,2.047625,-9.5805,2.1219642385854254,orange,4.0,0.89039110375,1.0
HydrogenAcceptor,7.0,0.49679999999999996,1.5058333333333334,-14.136800000000001,0.6817631089571737,orange,3.0,0.02142356222222211,0.75
HydrogenAcceptor,8.0,1.1371333333333333,1.9318,-11.499066666666666,0.7189536455254606,orange,3.0,0.030624644444444477,0.75
HydrogenDonor,1.0,-13.456766666666667,4.869466666666667,-10.984833333333334,1.8698071956787694,yellow,3.0,1.1239162,0.75
HydrogenDonor,2.0,-2.44,4.873,-7.8247,0.5,yellow,1.0,0.0,0.25
HydrogenDonor,3.0,-4.9437,3.3718,-7.38,0.5,yellow,1.0,0.0,0.25
HydrogenDonor,4.0,-9.1766,0.656,-12.9983,0.5,yellow,1.0,0.0,0.25
HydrogenDonor,5.0,-5.2447,-1.8078,-14.4744,0.5,yellow,1.0,0.0,0.25
Hydrophobic,1.0,-1.4345722222222221,1.074166666666667,-12.202894444444446,1.1041411962934558,green,3.0,0.0075609204938270795,0.75
Hydrophobic,2.0,-0.052399999999999995,1.2186750000000002,-15.091749999999998,2.281936138473752,green,4.0,0.5643951093749996,1.0
Hydrophobic,3.0,-1.6905333333333334,1.6654333333333333,-8.594533333333333,1.3466409429558681,green,3.0,0.06542464666666666,0.75
Hydrophobic,4.0,1.7885499999999999,0.9954749999999999,-11.2902,1.9175951193881753,green,4.0,0.296658514375,1.0
Hydrophobic,5.0,-9.09883888888889,1.7101499999999996,-12.298083333333338,1.425703247181053,green,3.0,0.09168477783950592,0.75
Hydrophobic,6.0,-10.74275,0.08725000000000001,-13.77,1.0,green,1.0,0.0,0.25
Hydrophobic,7.0,-5.037144444444444,2.449411111111111,-11.454677777777777,2.05341658654818,green,3.0,0.555476100740743,0.75
Hydrophobic,8.0,-6.368966666666666,0.3001333333333333,-13.04978333333333,1.0,green,1.0,0.0,0.25
